event,type,extras,date,calendar_system
Madhvacharya Jayanti,Religional Festival,"Ashwina, Shukla Dashami",2026-10-21,hindu_lunar
Meerabai Jayanti,Religional Festival,"Ashwina, Shukla Purnima",2026-10-26,hindu_lunar
Karwa Chauth,Religional Festival,"Kartika, Krishna Chaturthi",2026-10-29,hindu_lunar
Diwali,Religional Festival,"Kartika, Krishna Amavasya",2026-11-08,hindu_lunar
Govardhan Puja,Religional Festival,"Kartika, Shukla Pratipada",2026-11-10,hindu_lunar
Bhaiya Dooj,Religional Festival,"Kartika, Shukla Dwitiya",2026-11-11,hindu_lunar
Children's Day,Good to know,fixed day in Gregorian calendar,2026-11-14,gregorian_fixed
Chhath Puja,Religional Festival,"Kartika, Shukla Shashthi",2026-11-15,hindu_lunar
Guru Nanak Jayanti,Religional Festival,"Kartika, Shukla Purnima",2026-11-24,hindu_lunar
World AIDS Day,Good to know,fixed day in Gregorian calendar,2026-12-01,gregorian_fixed
Shortest Day of Year,Religional Festival,Astronomy Event,2026-12-22,astronomy
Hazarat Ali's Birthday,Religional Festival,based on Islamic calendar,2026-12-23,islamic
Merry Christmas,Religional Festival,fixed day in Gregorian calendar,2026-12-25,gregorian_fixed
English New Year,Religional Festival,first day of Gregorian calendar,2027-01-01,gregorian_fixed
National Youth Day,Good to know,fixed day in Gregorian calendar,2027-01-12,gregorian_fixed
Lohri,Religional Festival,day before Makara Sankranti,2027-01-14,day_relative
Pongal,Religional Festival,on Makara Sankranti day,2027-01-15,other
Tailang Swami Jayanti,Religional Festival,"Pausha, Shukla Ekadashi",2027-01-19,hindu_lunar
Subhas Chandra Bose Jayanti,Government Holiday,fixed day in Gregorian calendar,2027-01-23,gregorian_fixed
Republic Day,Government Holiday,fixed day in Gregorian calendar,2027-01-26,gregorian_fixed
Vivekananda Jayanti *Samvat,Religional Festival,"Magha, Krishna Saptami",2027-01-28,hindu_lunar
Gandhi Punyatithi,Government Holiday,fixed day in Gregorian calendar,2027-01-30,gregorian_fixed
World Cancer Day,Good to know,fixed day in Gregorian calendar,2027-02-04,gregorian_fixed
Vasant Panchami,Religional Festival,"Magha, Shukla Panchami",2027-02-11,hindu_lunar
Valentine's Day,Good to know,fixed day in Gregorian calendar,2027-02-14,gregorian_fixed
Chhatrapati Shivaji Maharaj Jayanti,Government Holiday,fixed day in Gregorian calendar,2027-02-19,gregorian_fixed
Guru Ravidas Jayanti,Religional Festival,"Magha, Shukla Purnima",2027-02-20,hindu_lunar
Maharishi Dayanand Saraswati Jayanti,Religional Festival,"Phalguna, Krishna Dashami",2027-03-02,hindu_lunar
Jamat Ul-Vida,Religional Festival,based on Islamic calendar,2027-03-05,islamic
Maha Shivaratri,Religional Festival,"Phalguna, Krishna Chaturdashi",2027-03-06,hindu_lunar
International Women's Day,Good to know,fixed day in Gregorian calendar,2027-03-08,gregorian_fixed
Ramadan,Religional Festival,based on Islamic calendar,2027-03-10,islamic
Parsi New Year,Religional Festival,based on Parsi calendar,2027-03-21,parsi
Holi,Religional Festival,"Chaitra, Krishna Pratipada",2027-03-22,hindu_lunar
Shaheed Diwas,Government Holiday,fixed day in Gregorian calendar,2027-03-23,gregorian_fixed
Chhatrapati Shivaji Maharaj Jayanti,Religional Festival,"Chaitra, Krishna Tritiya",2027-03-25,hindu_lunar
Good Friday,Religional Festival,based on Christian calendar,2027-03-26,other
Easter,Religional Festival,based on Christian calendar,2027-03-28,other
Bank's Holiday,Government Holiday,fixed day in Gregorian calendar,2027-04-01,gregorian_fixed
Gudi Padwa,Religional Festival,"Chaitra, Shukla Pratipada",2027-04-07,hindu_lunar
Jhulelal Jayanti,Religional Festival,"Chaitra, Shukla Pratipada/Dwitiya",2027-04-08,hindu_lunar
Baisakhi,Religional Festival,observed on Mesha Sankranti,2027-04-14,other
Rama Navami,Religional Festival,"Chaitra, Shukla Navami",2027-04-15,hindu_lunar
Mahavir Swami Jayanti,Religional Festival,"Chaitra, Shukla Trayodashi",2027-04-19,hindu_lunar
Earth Day,Good to know,fixed day in Gregorian calendar,2027-04-22,gregorian_fixed
International Workers' Day,Good to know,fixed day in Gregorian calendar,2027-05-01,gregorian_fixed
World Laughter Day,Good to know,1st Sunday of May,2027-05-02,other
Rabindranath Tagore Jayanti,Government Holiday,fixed day in Gregorian calendar,2027-05-07,gregorian_fixed
Mother's Day,Good to know,2nd Sunday of May,2027-05-09,other
Surdas Jayanti,Religional Festival,"Vaishakha, Shukla Panchami",2027-05-10,hindu_lunar
Bakrid,Religional Festival,based on Islamic calendar,2027-05-17,islamic
Buddha Purnima,Religional Festival,"Vaishakha, Shukla Purnima",2027-05-20,hindu_lunar
World No Tobacco Day,Good to know,fixed day in Gregorian calendar,2027-05-31,gregorian_fixed
World Environment Day,Good to know,fixed day in Gregorian calendar,2027-06-05,gregorian_fixed
Islamic New Year,Religional Festival,based on Islamic calendar,2027-06-06,islamic
Maharana Pratap Jayanti,Religional Festival,"Jyeshtha, Shukla Tritiya",2027-06-07,hindu_lunar
Muharram,Religional Festival,based on Islamic calendar,2027-06-15,islamic
Kabirdas Jayanti,Religional Festival,"Jyeshtha, Shukla Purnima",2027-06-18,hindu_lunar
Father's Day,Good to know,3rd Sunday of June,2027-06-20,other
International Yoga Day,Good to know,fixed day in Gregorian calendar,2027-06-21,gregorian_fixed
Jagannath Rathyatra,Religional Festival,"Ashadha, Shukla Dwitiya",2027-07-05,hindu_lunar
Guru Purnima,Religional Festival,"Ashadha, Shukla Purnima",2027-07-18,hindu_lunar
Friendship Day,Good to know,1st Sunday of August,2027-08-01,other
Tulsidas Jayanti,Religional Festival,"Shravana, Shukla Saptami",2027-08-08,hindu_lunar
Eid-e-Milad,Religional Festival,based on Islamic calendar,2027-08-15,islamic
Rakhi,Religional Festival,"Shravana, Shukla Purnima",2027-08-17,hindu_lunar
Krishna Janmashtami,Religional Festival,"Bhadrapada, Krishna Ashtami",2027-08-25,hindu_lunar
Ganesh Chaturthi,Religional Festival,"Bhadrapada, Shukla Chaturthi",2027-09-04,hindu_lunar
Teachers' Day,Good to know,fixed day in Gregorian calendar,2027-09-05,gregorian_fixed
Onam,Religional Festival,Sun in Simha & Shravana Nakshatra,2027-09-12,other
Hindi Diwas,Good to know,fixed day in Gregorian calendar,2027-09-14,gregorian_fixed
Engineer's Day,Good to know,fixed day in Gregorian calendar,2027-09-15,gregorian_fixed
Autumnal Equinox,Religional Festival,Astronomy Event,2027-09-23,astronomy
Maharaja Agrasen Jayanti,Religional Festival,"Ashwina, Shukla Pratipada",2027-09-30,hindu_lunar
Gandhi Jayanti,Government Holiday,fixed day in Gregorian calendar,2027-10-02,gregorian_fixed
Durga Ashtami,Religional Festival,"Ashwina, Shukla Ashtami",2027-10-07,hindu_lunar
Maha Navami,Religional Festival,"Ashwina, Shukla Navami",2027-10-08,hindu_lunar
Dussehra,Religional Festival,"Ashwina, Shukla Dashami",2027-10-09,hindu_lunar
Madhvacharya Jayanti,Religional Festival,"Ashwina, Shukla Dashami",2027-10-10,hindu_lunar
Meerabai Jayanti,Religional Festival,"Ashwina, Shukla Purnima",2027-10-15,hindu_lunar
Karwa Chauth,Religional Festival,"Kartika, Krishna Chaturthi",2027-10-18,hindu_lunar
Narak Chaturdashi,Religional Festival,"Kartika, Krishna Chaturdashi",2027-10-28,hindu_lunar
Diwali,Religional Festival,"Kartika, Krishna Amavasya",2027-10-29,hindu_lunar
Govardhan Puja,Religional Festival,"Kartika, Shukla Pratipada",2027-10-30,hindu_lunar
Bhaiya Dooj,Religional Festival,"Kartika, Shukla Dwitiya",2027-10-31,hindu_lunar
Chhath Puja,Religional Festival,"Kartika, Shukla Shashthi",2027-11-04,hindu_lunar
Children's Day,Good to know,fixed day in Gregorian calendar,2027-11-14,gregorian_fixed
World AIDS Day,Good to know,fixed day in Gregorian calendar,2027-12-01,gregorian_fixed
Hazarat Ali's Birthday,Religional Festival,based on Islamic calendar,2027-12-12,islamic
Shortest Day of Year,Religional Festival,Astronomy Event,2027-12-22,astronomy
Merry Christmas,Religional Festival,fixed day in Gregorian calendar,2027-12-25,gregorian_fixed
English New Year,Religional Festival,first day of Gregorian calendar,2028-01-01,gregorian_fixed
Guru Gobind Singh Jayanti,Religional Festival,"Pausha, Shukla Saptami",2028-01-04,hindu_lunar
Tailang Swami Jayanti,Religional Festival,"Pausha, Shukla Ekadashi",2028-01-08,hindu_lunar
National Youth Day,Good to know,fixed day in Gregorian calendar,2028-01-12,gregorian_fixed
Lohri,Religional Festival,day before Makara Sankranti,2028-01-14,day_relative
Pongal,Religional Festival,on Makara Sankranti day,2028-01-15,other
Vivekananda Jayanti *Samvat,Religional Festival,"Magha, Krishna Saptami",2028-01-18,hindu_lunar
Subhas Chandra Bose Jayanti,Government Holiday,fixed day in Gregorian calendar,2028-01-23,gregorian_fixed
Republic Day,Government Holiday,fixed day in Gregorian calendar,2028-01-26,gregorian_fixed
Gandhi Punyatithi,Government Holiday,fixed day in Gregorian calendar,2028-01-30,gregorian_fixed
Vasant Panchami,Religional Festival,"Magha, Shukla Panchami",2028-01-31,hindu_lunar
World Cancer Day,Good to know,fixed day in Gregorian calendar,2028-02-04,gregorian_fixed
Guru Ravidas Jayanti,Religional Festival,"Magha, Shukla Purnima",2028-02-10,hindu_lunar
Valentine's Day,Good to know,fixed day in Gregorian calendar,2028-02-14,gregorian_fixed
Chhatrapati Shivaji Maharaj Jayanti,Government Holiday,fixed day in Gregorian calendar,2028-02-19,gregorian_fixed
Maha Shivaratri,Religional Festival,"Phalguna, Krishna Chaturdashi",2028-02-23,hindu_lunar
Jamat Ul-Vida,Religional Festival,based on Islamic calendar,2028-02-25,islamic
Ramadan,Religional Festival,based on Islamic calendar,2028-02-27,islamic
International Women's Day,Good to know,fixed day in Gregorian calendar,2028-03-08,gregorian_fixed
Chaitanya Mahaprabhu Jayanti,Religional Festival,"Phalguna, Shukla Purnima",2028-03-10,hindu_lunar
Holi,Religional Festival,"Chaitra, Krishna Pratipada",2028-03-11,hindu_lunar
Chhatrapati Shivaji Maharaj Jayanti,Religional Festival,"Chaitra, Krishna Tritiya",2028-03-13,hindu_lunar
Parsi New Year,Religional Festival,based on Parsi calendar,2028-03-20,parsi
Shaheed Diwas,Government Holiday,fixed day in Gregorian calendar,2028-03-23,gregorian_fixed
Jhulelal Jayanti,Religional Festival,"Chaitra, Shukla Pratipada/Dwitiya",2028-03-27,hindu_lunar
Bank's Holiday,Government Holiday,fixed day in Gregorian calendar,2028-04-01,gregorian_fixed
Rama Navami *Smarta,Religional Festival,"Chaitra, Shukla Navami",2028-04-03,hindu_lunar
Rama Navami *ISKCON,Religional Festival,"Chaitra, Shukla Navami",2028-04-04,hindu_lunar
Mahavir Swami Jayanti,Religional Festival,"Chaitra, Shukla Trayodashi",2028-04-07,hindu_lunar
Baisakhi,Religional Festival,observed on Mesha Sankranti,2028-04-13,other
Good Friday,Religional Festival,based on Christian calendar,2028-04-14,other
Easter,Religional Festival,based on Christian calendar,2028-04-16,other
Vallabhacharya Jayanti,Religional Festival,"Vaishakha, Krishna Ekadashi",2028-04-20,hindu_lunar
Earth Day,Good to know,fixed day in Gregorian calendar,2028-04-22,gregorian_fixed
Surdas Jayanti,Religional Festival,"Vaishakha, Shukla Panchami",2028-04-29,hindu_lunar
International Workers' Day,Good to know,fixed day in Gregorian calendar,2028-05-01,gregorian_fixed
Bakrid,Religional Festival,based on Islamic calendar,2028-05-05,islamic
World Laughter Day,Good to know,1st Sunday of May,2028-05-07,other
Buddha Purnima,Religional Festival,"Vaishakha, Shukla Purnima",2028-05-08,hindu_lunar
Mother's Day,Good to know,2nd Sunday of May,2028-05-14,other
Islamic New Year,Religional Festival,based on Islamic calendar,2028-05-25,islamic
Maharana Pratap Jayanti,Religional Festival,"Jyeshtha, Shukla Tritiya",2028-05-27,hindu_lunar
World No Tobacco Day,Good to know,fixed day in Gregorian calendar,2028-05-31,gregorian_fixed
Muharram,Religional Festival,based on Islamic calendar,2028-06-03,islamic
World Environment Day,Good to know,fixed day in Gregorian calendar,2028-06-05,gregorian_fixed
Kabirdas Jayanti,Religional Festival,"Jyeshtha, Shukla Purnima",2028-06-07,hindu_lunar
Father's Day,Good to know,3rd Sunday of June,2028-06-18,other
International Yoga Day,Good to know,fixed day in Gregorian calendar,2028-06-21,gregorian_fixed
Jagannath Rathyatra,Religional Festival,"Ashadha, Shukla Dwitiya",2028-06-24,hindu_lunar
Guru Purnima,Religional Festival,"Ashadha, Shukla Purnima",2028-07-06,hindu_lunar
Tulsidas Jayanti,Religional Festival,"Shravana, Shukla Saptami",2028-07-28,hindu_lunar
Eid-e-Milad,Religional Festival,based on Islamic calendar,2028-08-03,islamic
Rakhi,Religional Festival,"Shravana, Shukla Purnima",2028-08-05,hindu_lunar
Friendship Day,Good to know,1st Sunday of August,2028-08-06,other
Krishna Janmashtami,Religional Festival,"Bhadrapada, Krishna Ashtami",2028-08-13,hindu_lunar
Independence Day,Government Holiday,fixed day in Gregorian calendar,2028-08-15,gregorian_fixed
Ganesh Chaturthi,Religional Festival,"Bhadrapada, Shukla Chaturthi",2028-08-23,hindu_lunar
Onam,Religional Festival,Sun in Simha & Shravana Nakshatra,2028-09-01,other
Teachers' Day,Good to know,fixed day in Gregorian calendar,2028-09-05,gregorian_fixed
Hindi Diwas,Good to know,fixed day in Gregorian calendar,2028-09-14,gregorian_fixed
Engineer's Day,Good to know,fixed day in Gregorian calendar,2028-09-15,gregorian_fixed
Maharaja Agrasen Jayanti,Religional Festival,"Ashwina, Shukla Pratipada",2028-09-19,hindu_lunar
Autumnal Equinox,Religional Festival,Astronomy Event,2028-09-22,astronomy
Maha Navami,Religional Festival,"Ashwina, Shukla Navami",2028-09-26,hindu_lunar
Dussehra,Religional Festival,"Ashwina, Shukla Dashami",2028-09-27,hindu_lunar
Madhvacharya Jayanti,Religional Festival,"Ashwina, Shukla Dashami",2028-09-28,hindu_lunar
Gandhi Jayanti,Government Holiday,fixed day in Gregorian calendar,2028-10-02,gregorian_fixed
Meerabai Jayanti,Religional Festival,"Ashwina, Shukla Purnima",2028-10-03,hindu_lunar
Karwa Chauth,Religional Festival,"Kartika, Krishna Chaturthi",2028-10-07,hindu_lunar
Diwali,Religional Festival,"Kartika, Krishna Amavasya",2028-10-17,hindu_lunar
Govardhan Puja,Religional Festival,"Kartika, Shukla Pratipada",2028-10-18,hindu_lunar
Bhaiya Dooj,Religional Festival,"Kartika, Shukla Dwitiya",2028-10-19,hindu_lunar
Chhath Puja,Religional Festival,"Kartika, Shukla Shashthi",2028-10-23,hindu_lunar
Guru Nanak Jayanti,Religional Festival,"Kartika, Shukla Purnima",2028-11-02,hindu_lunar
Children's Day,Good to know,fixed day in Gregorian calendar,2028-11-14,gregorian_fixed
Hazarat Ali's Birthday,Religional Festival,based on Islamic calendar,2028-11-30,islamic
World AIDS Day,Good to know,fixed day in Gregorian calendar,2028-12-01,gregorian_fixed
Shortest Day of Year,Religional Festival,Astronomy Event,2028-12-21,astronomy
Guru Gobind Singh Jayanti,Religional Festival,"Pausha, Shukla Saptami",2028-12-23,hindu_lunar
Merry Christmas,Religional Festival,fixed day in Gregorian calendar,2028-12-25,gregorian_fixed
Tailang Swami Jayanti,Religional Festival,"Pausha, Shukla Ekadashi",2028-12-27,hindu_lunar
English New Year,Religional Festival,first day of Gregorian calendar,2029-01-01,gregorian_fixed
Vivekananda Jayanti *Samvat,Religional Festival,"Magha, Krishna Saptami",2029-01-07,hindu_lunar
National Youth Day,Good to know,fixed day in Gregorian calendar,2029-01-12,gregorian_fixed
Lohri,Religional Festival,day before Makara Sankranti,2029-01-13,day_relative
Pongal,Religional Festival,on Makara Sankranti day,2029-01-14,other
Vasant Panchami,Religional Festival,"Magha, Shukla Panchami",2029-01-19,hindu_lunar
Subhas Chandra Bose Jayanti,Government Holiday,fixed day in Gregorian calendar,2029-01-23,gregorian_fixed
Republic Day,Government Holiday,fixed day in Gregorian calendar,2029-01-26,gregorian_fixed
Gandhi Punyatithi,Government Holiday,fixed day in Gregorian calendar,2029-01-30,gregorian_fixed
World Cancer Day,Good to know,fixed day in Gregorian calendar,2029-02-04,gregorian_fixed
Maharishi Dayanand Saraswati Jayanti,Religional Festival,"Phalguna, Krishna Dashami",2029-02-08,hindu_lunar
Jamat Ul-Vida,Religional Festival,based on Islamic calendar,2029-02-09,islamic
Maha Shivaratri,Religional Festival,"Phalguna, Krishna Chaturdashi",2029-02-11,hindu_lunar
Valentine's Day,Good to know,fixed day in Gregorian calendar,2029-02-14,gregorian_fixed
Ramadan,Religional Festival,based on Islamic calendar,2029-02-15,islamic
Chhatrapati Shivaji Maharaj Jayanti,Government Holiday,fixed day in Gregorian calendar,2029-02-19,gregorian_fixed
Chaitanya Mahaprabhu Jayanti,Religional Festival,"Phalguna, Shukla Purnima",2029-02-28,hindu_lunar
Holi,Religional Festival,"Chaitra, Krishna Pratipada",2029-03-01,hindu_lunar
Chhatrapati Shivaji Maharaj Jayanti,Religional Festival,"Chaitra, Krishna Tritiya",2029-03-03,hindu_lunar
International Women's Day,Good to know,fixed day in Gregorian calendar,2029-03-08,gregorian_fixed
Parsi New Year,Religional Festival,based on Parsi calendar,2029-03-20,parsi
Shaheed Diwas,Government Holiday,fixed day in Gregorian calendar,2029-03-23,gregorian_fixed
Good Friday,Religional Festival,based on Christian calendar,2029-03-30,other
Easter,Religional Festival,based on Christian calendar,2029-04-01,other
Baisakhi,Religional Festival,observed on Mesha Sankranti,2029-04-14,other
Jhulelal Jayanti,Religional Festival,"Chaitra, Shukla Pratipada/Dwitiya",2029-04-15,hindu_lunar
Earth Day,Good to know,fixed day in Gregorian calendar,2029-04-22,gregorian_fixed
Rama Navami,Religional Festival,"Chaitra, Shukla Navami",2029-04-23,hindu_lunar
Bakrid,Religional Festival,based on Islamic calendar,2029-04-24,islamic
Mahavir Swami Jayanti,Religional Festival,"Chaitra, Shukla Trayodashi",2029-04-26,hindu_lunar
International Workers' Day,Good to know,fixed day in Gregorian calendar,2029-05-01,gregorian_fixed
World Laughter Day,Good to know,1st Sunday of May,2029-05-06,other
Rabindranath Tagore Jayanti,Government Holiday,fixed day in Gregorian calendar,2029-05-07,gregorian_fixed
Vallabhacharya Jayanti,Religional Festival,"Vaishakha, Krishna Ekadashi",2029-05-09,hindu_lunar
Mother's Day,Good to know,2nd Sunday of May,2029-05-13,other
Islamic New Year,Religional Festival,based on Islamic calendar,2029-05-15,islamic
Surdas Jayanti,Religional Festival,"Vaishakha, Shukla Panchami",2029-05-18,hindu_lunar
Muharram,Religional Festival,based on Islamic calendar,2029-05-24,islamic
Buddha Purnima,Religional Festival,"Vaishakha, Shukla Purnima",2029-05-27,hindu_lunar
World No Tobacco Day,Good to know,fixed day in Gregorian calendar,2029-05-31,gregorian_fixed
World Environment Day,Good to know,fixed day in Gregorian calendar,2029-06-05,gregorian_fixed
Maharana Pratap Jayanti,Religional Festival,"Jyeshtha, Shukla Tritiya",2029-06-15,hindu_lunar
Father's Day,Good to know,3rd Sunday of June,2029-06-17,other
International Yoga Day,Good to know,fixed day in Gregorian calendar,2029-06-21,gregorian_fixed
Kabirdas Jayanti,Religional Festival,"Jyeshtha, Shukla Purnima",2029-06-26,hindu_lunar
Jagannath Rathyatra,Religional Festival,"Ashadha, Shukla Dwitiya",2029-07-13,hindu_lunar
Eid-e-Milad,Religional Festival,based on Islamic calendar,2029-07-24,islamic
Guru Purnima,Religional Festival,"Ashadha, Shukla Purnima",2029-07-25,hindu_lunar
Friendship Day,Good to know,1st Sunday of August,2029-08-05,other
Independence Day,Government Holiday,fixed day in Gregorian calendar,2029-08-15,gregorian_fixed
Tulsidas Jayanti,Religional Festival,"Shravana, Shukla Saptami",2029-08-16,hindu_lunar
Onam,Religional Festival,Sun in Simha & Shravana Nakshatra,2029-08-22,other
Rakhi,Religional Festival,"Shravana, Shukla Purnima",2029-08-23,hindu_lunar
Krishna Janmashtami,Religional Festival,"Bhadrapada, Krishna Ashtami",2029-09-01,hindu_lunar
Teachers' Day,Good to know,fixed day in Gregorian calendar,2029-09-05,gregorian_fixed
Ganesh Chaturthi,Religional Festival,"Bhadrapada, Shukla Chaturthi",2029-09-11,hindu_lunar
Hindi Diwas,Good to know,fixed day in Gregorian calendar,2029-09-14,gregorian_fixed
Engineer's Day,Good to know,fixed day in Gregorian calendar,2029-09-15,gregorian_fixed
Autumnal Equinox,Religional Festival,Astronomy Event,2029-09-22,astronomy
Gandhi Jayanti,Government Holiday,fixed day in Gregorian calendar,2029-10-02,gregorian_fixed
Maharaja Agrasen Jayanti,Religional Festival,"Ashwina, Shukla Pratipada",2029-10-08,hindu_lunar
Durga Ashtami,Religional Festival,"Ashwina, Shukla Ashtami",2029-10-14,hindu_lunar
Maha Navami,Religional Festival,"Ashwina, Shukla Navami",2029-10-15,hindu_lunar
Madhvacharya Jayanti,Religional Festival,"Ashwina, Shukla Dashami",2029-10-16,hindu_lunar
Meerabai Jayanti,Religional Festival,"Ashwina, Shukla Purnima",2029-10-22,hindu_lunar
Karwa Chauth,Religional Festival,"Kartika, Krishna Chaturthi",2029-10-26,hindu_lunar
Diwali,Religional Festival,"Kartika, Krishna Amavasya",2029-11-05,hindu_lunar
Govardhan Puja,Religional Festival,"Kartika, Shukla Pratipada",2029-11-06,hindu_lunar
Bhaiya Dooj,Religional Festival,"Kartika, Shukla Dwitiya",2029-11-07,hindu_lunar
Chhath Puja,Religional Festival,"Kartika, Shukla Shashthi",2029-11-11,hindu_lunar
Children's Day,Good to know,fixed day in Gregorian calendar,2029-11-14,gregorian_fixed
Hazarat Ali's Birthday,Religional Festival,based on Islamic calendar,2029-11-20,islamic
Guru Nanak Jayanti,Religional Festival,"Kartika, Shukla Purnima",2029-11-21,hindu_lunar
World AIDS Day,Good to know,fixed day in Gregorian calendar,2029-12-01,gregorian_fixed
Shortest Day of Year,Religional Festival,Astronomy Event,2029-12-21,astronomy
Merry Christmas,Religional Festival,fixed day in Gregorian calendar,2029-12-25,gregorian_fixed
English New Year,Religional Festival,first day of Gregorian calendar,2030-01-01,gregorian_fixed
Guru Gobind Singh Jayanti,Religional Festival,"Pausha, Shukla Saptami",2030-01-10,hindu_lunar
National Youth Day,Good to know,fixed day in Gregorian calendar,2030-01-12,gregorian_fixed
Lohri,Religional Festival,day before Makara Sankranti,2030-01-13,day_relative
Pongal,Religional Festival,on Makara Sankranti day,2030-01-14,other
Tailang Swami Jayanti,Religional Festival,"Pausha, Shukla Ekadashi",2030-01-15,hindu_lunar
Subhas Chandra Bose Jayanti,Government Holiday,fixed day in Gregorian calendar,2030-01-23,gregorian_fixed
Republic Day,Government Holiday,fixed day in Gregorian calendar,2030-01-26,gregorian_fixed
Gandhi Punyatithi,Government Holiday,fixed day in Gregorian calendar,2030-01-30,gregorian_fixed
Jamat Ul-Vida,Religional Festival,based on Islamic calendar,2030-02-01,islamic
World Cancer Day,Good to know,fixed day in Gregorian calendar,2030-02-04,gregorian_fixed
Ramadan,Religional Festival,based on Islamic calendar,2030-02-05,islamic
Vasant Panchami,Religional Festival,"Magha, Shukla Panchami",2030-02-07,hindu_lunar
Valentine's Day,Good to know,fixed day in Gregorian calendar,2030-02-14,gregorian_fixed
Guru Ravidas Jayanti,Religional Festival,"Magha, Shukla Purnima",2030-02-18,hindu_lunar
Chhatrapati Shivaji Maharaj Jayanti,Government Holiday,fixed day in Gregorian calendar,2030-02-19,gregorian_fixed
Maharishi Dayanand Saraswati Jayanti,Religional Festival,"Phalguna, Krishna Dashami",2030-02-27,hindu_lunar
Maha Shivaratri,Religional Festival,"Phalguna, Krishna Chaturdashi",2030-03-02,hindu_lunar
Ramakrishna Jayanti,Religional Festival,"Phalguna, Shukla Dwitiya",2030-03-06,hindu_lunar
International Women's Day,Good to know,fixed day in Gregorian calendar,2030-03-08,gregorian_fixed
Chaitanya Mahaprabhu Jayanti,Religional Festival,"Phalguna, Shukla Purnima",2030-03-19,hindu_lunar
Parsi New Year,Religional Festival,based on Parsi calendar,2030-03-20,parsi
Chhatrapati Shivaji Maharaj Jayanti,Religional Festival,"Chaitra, Krishna Tritiya",2030-03-22,hindu_lunar
Shaheed Diwas,Government Holiday,fixed day in Gregorian calendar,2030-03-23,gregorian_fixed
Bank's Holiday,Government Holiday,fixed day in Gregorian calendar,2030-04-01,gregorian_fixed
Gudi Padwa,Religional Festival,"Chaitra, Shukla Pratipada",2030-04-03,hindu_lunar
Jhulelal Jayanti,Religional Festival,"Chaitra, Shukla Pratipada/Dwitiya",2030-04-04,hindu_lunar
Rama Navami,Religional Festival,"Chaitra, Shukla Navami",2030-04-12,hindu_lunar
Baisakhi,Religional Festival,observed on Mesha Sankranti,2030-04-14,other
Mahavir Swami Jayanti,Religional Festival,"Chaitra, Shukla Trayodashi",2030-04-16,hindu_lunar
Good Friday,Religional Festival,based on Christian calendar,2030-04-19,other
Easter,Religional Festival,based on Christian calendar,2030-04-21,other
Earth Day,Good to know,fixed day in Gregorian calendar,2030-04-22,gregorian_fixed
Vallabhacharya Jayanti,Religional Festival,"Vaishakha, Krishna Ekadashi",2030-04-28,hindu_lunar
International Workers' Day,Good to know,fixed day in Gregorian calendar,2030-05-01,gregorian_fixed
Islamic New Year,Religional Festival,based on Islamic calendar,2030-05-04,islamic
World Laughter Day,Good to know,1st Sunday of May,2030-05-05,other
Rabindranath Tagore Jayanti,Government Holiday,fixed day in Gregorian calendar,2030-05-07,gregorian_fixed
Surdas Jayanti,Religional Festival,"Vaishakha, Shukla Panchami",2030-05-08,hindu_lunar
Mother's Day,Good to know,2nd Sunday of May,2030-05-12,other
Muharram,Religional Festival,based on Islamic calendar,2030-05-13,islamic
Buddha Purnima,Religional Festival,"Vaishakha, Shukla Purnima",2030-05-17,hindu_lunar
World No Tobacco Day,Good to know,fixed day in Gregorian calendar,2030-05-31,gregorian_fixed
Maharana Pratap Jayanti,Religional Festival,"Jyeshtha, Shukla Tritiya",2030-06-04,hindu_lunar
World Environment Day,Good to know,fixed day in Gregorian calendar,2030-06-05,gregorian_fixed
Kabirdas Jayanti,Religional Festival,"Jyeshtha, Shukla Purnima",2030-06-15,hindu_lunar
Father's Day,Good to know,3rd Sunday of June,2030-06-16,other
International Yoga Day,Good to know,fixed day in Gregorian calendar,2030-06-21,gregorian_fixed
Jagannath Rathyatra,Religional Festival,"Ashadha, Shukla Dwitiya",2030-07-02,hindu_lunar
Eid-e-Milad,Religional Festival,based on Islamic calendar,2030-07-13,islamic
Guru Purnima,Religional Festival,"Ashadha, Shukla Purnima",2030-07-15,hindu_lunar
Friendship Day,Good to know,1st Sunday of August,2030-08-04,other
Tulsidas Jayanti,Religional Festival,"Shravana, Shukla Saptami",2030-08-06,hindu_lunar
Rakhi,Religional Festival,"Shravana, Shukla Purnima",2030-08-13,hindu_lunar
Independence Day,Government Holiday,fixed day in Gregorian calendar,2030-08-15,gregorian_fixed
Krishna Janmashtami,Religional Festival,"Bhadrapada, Krishna Ashtami",2030-08-21,hindu_lunar
Ganesh Chaturthi,Religional Festival,"Bhadrapada, Shukla Chaturthi",2030-09-01,hindu_lunar
Teachers' Day,Good to know,fixed day in Gregorian calendar,2030-09-05,gregorian_fixed
Onam,Religional Festival,Sun in Simha & Shravana Nakshatra,2030-09-09,other
Hindi Diwas,Good to know,fixed day in Gregorian calendar,2030-09-14,gregorian_fixed
Engineer's Day,Good to know,fixed day in Gregorian calendar,2030-09-15,gregorian_fixed
Autumnal Equinox,Religional Festival,Astronomy Event,2030-09-23,astronomy
Maharaja Agrasen Jayanti,Religional Festival,"Ashwina, Shukla Pratipada",2030-09-28,hindu_lunar
Gandhi Jayanti,Government Holiday,fixed day in Gregorian calendar,2030-10-02,gregorian_fixed
